accepted_name,family,seeded,pool_size,height,seedmass,sla,lifeform,taxonomic_status,accepted_name_rank,source,accepted_name_url
Potentilla recta,Rosaceae,NA,NA,0.5,2.69e-4,174,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:209483-2
Pseudognaphalium obtusifolium,Asteraceae,NA,NA,NA,3.8e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:909626-1
Pycnanthemum tenuifolium,Lamiaceae,NA,NA,NA,7e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:455236-1
Pycnanthemum virginianum,Lamiaceae,NA,NA,NA,1.4e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1128143-2
Pyrus calleryana,Rosaceae,NA,NA,6.5,0.0129,NA,tree,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:730740-1
Ratibida pinnata,Asteraceae,1,6,1.2,9.63e-4,100.8031519525,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:217881-2
Rhamnus cathartica,Rhamnaceae,NA,NA,5.3335,0.026720273,167.06,tree,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:718256-1
Rubus allegheniensis,Rosaceae,NA,NA,1.525,0.002053375,162.3685682888889,subshrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:298725-2
Rubus flagellaris,Rosaceae,NA,NA,1.5,0.00343,148.0675804565,subshrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30083253-2
Rubus occidentalis,Rosaceae,NA,NA,1.8,0.0013645,NA,subshrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:223350-2
Rudbeckia fulgida,Asteraceae,NA,NA,NA,5e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:223725-2
Rudbeckia hirta,Asteraceae,1,12,0.25,8.32e-4,193.5,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:223740-2
Rudbeckia laciniata,Asteraceae,NA,NA,1.9,0.00235175,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:241716-1
Rudbeckia subtomentosa,Asteraceae,NA,NA,NA,9.4e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30275611-2
Rudbeckia triloba,Asteraceae,NA,NA,NA,7.7e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:241776-1
Rumex acetosella,Polygonaceae,NA,NA,0.155,5.41e-4,240.91,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:224391-2
Rumex crispus,Polygonaceae,NA,NA,0.714,0.03654317,240.97,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:224413-2
Saponaria officinalis,Caryophyllaceae,NA,NA,0.557,0.0016877,233.5,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:156627-1
Sassafras albidum,Lauraceae,NA,NA,19.12,0.0827425,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:468624-1
Schizachyrium scoparium,Poaceae,1,6,1.055,0.00167975,148.7650816305,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:420956-1
Scrophularia lanceolata,Scrophulariaceae,NA,NA,1.5,1.56e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:809288-1
Senna hebecarpa,Fabaceae,NA,NA,1.0285,NA,137.08477486666666,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:234488-2
Silene latifolia,Caryophyllaceae,NA,NA,0.4875,8.84e-4,216.25,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:157647-1
Silphium integrifolium,Asteraceae,NA,NA,NA,0.03065,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30072268-2
Silphium laciniatum,Asteraceae,NA,NA,NA,0.07805,71.275340865,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:315757-2
