id_plot,site,year,id_tin,tinfilter_g,soil_soaked_g,soil_dried_g,water_cap,notes,,,,
SWS_39,SW Station,2018,45,23.92,191.82,137.3,0.481,,,,,
SWS_40,SW Station,2018,18,22.57,191.21,134.34,0.509,,,,,
SWS_41,SW Station,2018,53,23.05,187.73,125.48,0.608,,,,,
SWS_42,SW Station,2018,48,24.02,228.31,169.88,0.401,,,,,
SWS_43,SW Station,2018,26,27.49,204.89,157.01,0.370,"new tin, Check previous records, this is likely not Plot 3 because another number in front has been rubbed off, Confirmed Plot 43",,,,
SWS_44,SW Station,2018,57,23.31,212.7,154.93,0.439,,,,,
SWS_45,SW Station,2018,52,22.99,198.34,141.17,0.484,,,,,
SWS_46,SW Station,2018,42,25.16,163.88,119.01,0.478,,,,,
SWS_47,SW Station,2018,47,23.22,187.67,135.56,0.464,,,,,
SWS_48,SW Station,2018,30,27.83,205.23,149.2,0.462,new tin,,,,
SWS_49,SW Station,2018,68,24.06,177.48,123.01,0.550,,,,,
SWS_50,SW Station,2018,27,24.84,197.25,150,0.378,,,,,
SWS_51,SW Station,2018,40,23.96,231.85,171.13,0.413,,,,,
SWS_52,SW Station,2018,56,23.99,201.74,148.14,0.432,,,,,
SWS_53,SW Station,2018,36,24.02,196.07,140.78,0.474,,,,,
SWS_54,SW Station,2018,41,23.71,205.13,152.05,0.414,,,,,
SWS_55,SW Station,2018,13,24.07,191.77,138.89,0.461,,,,,
SWS_56,SW Station,2018,51,24.32,199.39,137.53,0.546,,,,,
SWS_57,SW Station,2018,56,23.84,190.08,132.65,0.528,,,,,
SWS_58,SW Station,2018,27,24.98,222.69,163.19,0.431,,,,,
SWS_59,SW Station,2018,66,23.36,226.56,170.44,0.382,,,,,
SWS_60,SW Station,2018,67,23.61,214.87,157.91,0.424,,,,,
NWS_1,NW Station,2018,65,23.15,208.69,159.14,0.364,,,,,
NWS_2,NW Station,2018,30,23.18,206.54,148.17,0.467,,,,,
NWS_3,NW Station,2018,26,27.52,212.79,160.03,0.398,,,,,
NWS_4,NW Station,2018,11,23.5,192.27,151.47,0.319,,,,,
NWS_5,NW Station,2018,1,24.03,218.5,166.81,0.362,,,,,
NWS_6,NW Station,2018,64,23.09,211.64,159.38,0.383,,,,,
NWS_7,NW Station,2018,25,24.95,164.19,124.45,0.399,,,,,
NWS_8,NW Station,2018,11,23.5,213.33,163.99,0.351,,,,,
NWS_9,NW Station,2018,9,23.81,156.52,121.15,0.363,,,,,
NWS_10,NW Station,2018,53,22.87,226.91,172.77,0.361,,,,,
NWS_11,NW Station,2018,39,23.23,187.47,145.98,0.338,,,,,
NWS_12,NW Station,2018,48,24.12,167.25,124.89,0.420,,,,,
NWS_13,NW Station,2018,23,23.53,225.38,174.2,0.340,,,,,
NWS_14,NW Station,2018,51,24.22,216.46,167.75,0.339,,,,,
NWS_15,NW Station,2018,53,22.92,226.6,174.71,0.342,,,,,
NWS_16,NW Station,2018,11,23.64,177.9,139.73,0.329,,,,,
NWS_17,NW Station,2018,66,23.31,225.18,178.58,0.300,,,,,
NWS_18,NW Station,2018,NA,NA,NA,NA,NA,Missing,,,,
NWS_19,NW Station,2018,31,23.33,211.68,159.65,0.382,,,,,
NWS_20,NW Station,2018,12,24.8,200.4,152.22,0.378,,,,,
NWS_21,NW Station,2018,62,23.75,201.74,154.82,0.358,,,,,
NWS_22,NW Station,2018,20,23.11,222.53,171.09,0.348,,,,,
NWS_23,NW Station,2018,46,23.63,217.77,170.91,0.318,,,,,
NWS_24,NW Station,2018,60,23.92,208.81,158.29,0.376,,,,,
NWS_25,NW Station,2018,70,27.6,152.68,122.02,0.325,,,,,
NWS_26,NW Station,2018,53,22.89,206.18,159.3,0.344,,,,,
NWS_27,NW Station,2018,39,23.21,216.78,169.72,0.321,,,,,
NWS_28,NW Station,2018,1,24.02,249.23,195.61,0.312,,,,,
NWS_29,NW Station,2018,67,23.67,226.02,180.37,0.291,,,,,
NWS_30,NW Station,2018,36,23.84,224.88,175.4,0.326,,,,,
NWS_31,NW Station,2018,6,22.84,210.48,161.95,0.349,,,,,
NWS_32,NW Station,2018,54,22.71,213.13,164.8,0.340,,,,,
NWS_33,NW Station,2018,25,24.87,225.89,177.89,0.314,,,,,
NWS_34,NW Station,2018,37,23.62,206.73,162.4,0.319,,,,,
NWS_35,NW Station,2018,43,24.46,162.63,127.22,0.345,,,,,
NWS_36,NW Station,2018,6,22.94,189.25,146.15,0.350,,,,,
NWS_37,NW Station,2018,61,23.51,199.23,154.56,0.341,,,,,
NWS_38,NW Station,2018,46,23.61,147.27,114.96,0.354,,,,,
NWS_39,NW Station,2018,2,25,222.11,172.47,0.337,,,,,
NWS_40,NW Station,2018,48,24.01,219.91,169.18,0.349,,,,,
NWS_41,NW Station,2018,24,27.37,204.87,161.35,0.325,,,,,
NWS_42,NW Station,2018,12,24.8,228.27,181.46,0.299,,,,,
NWS_43,NW Station,2018,63,23.42,159.46,125.57,0.332,,,,,
NWS_44,NW Station,2018,NA,NA,NA,NA,NA,Missing,,,,
NWS_45,NW Station,2018,54,22.73,231.13,180.68,0.319,,,,,
NWS_46,NW Station,2018,45,23.81,208.7,163.5,0.324,,,,,
NWS_47,NW Station,2018,57,23.38,186.22,141.99,0.373,,,,,
NWS_48,NW Station,2018,47,23.23,164.6,128.32,0.345,,,,,
NWS_49,NW Station,2018,46,23.84,168.61,132.57,0.331,,,,,
NWS_50,NW Station,2018,8,23.15,218.07,169.71,0.330,,,,,
NWS_51,NW Station,2018,59,22.67,227.29,176.79,0.328,,,,,
NWS_52,NW Station,2018,13,24.23,201.16,157.16,0.331,,,,,
NWS_53,NW Station,2018,5,25.26,204.31,161.82,0.311,,,,,
NWS_54,NW Station,2018,44,23.85,217.18,171.82,0.307,,,,,
NWS_55,NW Station,2018,17,24.55,203.92,158.47,0.339,,,,,
NWS_56,NW Station,2018,39,23.34,176.26,138.97,0.322,,,,,
NWS_57,NW Station,2018,44,24,199.76,159.75,0.295,,,,,
NWS_58,NW Station,2018,17,24.57,216.59,167.98,0.339,,,,,
NWS_59,NW Station,2018,69,24.53,165.15,129.94,0.334,,,,,
NWS_60,NW Station,2018,55,23.96,223.64,178.59,0.291,,,,,
