species,number,source,leaf_mass,total_root_mass,total_shoot_mass,total_biomass,root_shoot
CARBIC,2,NA,0.015,1.026,0.418,1.444,2.454545455
CARBRE,2,NA,0.008,0.489,0.222,0.711,2.202702703
CARBRE,3,NA,0.013,0.47,0.304,0.774,1.546052632
CARBRE,1,NA,0.01,0.545,0.192,0.737,2.838541667
CARMOL,3,NA,0.01,0.93,0.413,1.343,2.251815981
CARMOL,1,NA,0.013,0.76,0.453,1.213,1.677704194
CARMOL,2,NA,0.01,0.742,0.346,1.088,2.144508671
CARNOR,1,NA,0.015,0.816,0.383,1.199,2.130548303
CHAFAS,1,MW,0.018,0.211,0.195,0.406,1.082051282
CHAFAS,3,MW,0.024,0.252,0.298,0.55,0.845637584
CHAFAS,2,MW,0.019,0.176,0.227,0.403,0.775330396
CHAFAS,3,SO,0.027,0.15,0.318,0.468,0.471698113
CHAFAS,1,SO,0.028,0.246,0.463,0.709,0.531317495
CHAFAS,4,SO,0.039,0.232,0.451,0.683,0.514412417
CHAFAS,2,MI,0.038,0.273,0.364,0.637,0.75
CHAFAS,1,MI,0.028,0.45,0.426,0.876,1.056338028
CHAFAS,4,MI,0.022,0.156,0.296,0.452,0.527027027
CHAFAS,3,MI,0.029,0.369,0.314,0.683,1.175159236
CHAFAS,5,MI,0.018,0.253,0.25,0.503,1.012
CORLAN,3,MI,0.061,0.539,0.474,1.013,1.137130802
CORLAN,1,SO,0.056,0.433,0.315,0.748,1.374603175
CORLAN,3,SO,0.062,0.399,0.47,0.869,0.84893617
CORLAN,2,SO,0.098,0.705,0.626,1.331,1.126198083
CORLAN,1,MW,0.086,0.514,0.698,1.212,0.736389685
CORLAN,2,MW,0.118,0.777,0.833,1.61,0.932773109
CORLAN,3,MW,0.085,0.56,0.696,1.256,0.804597701
CORTRI,3,NA,0.013,0.319,0.271,0.59,1.177121771
CORTRI,2,NA,0.022,0.903,0.388,1.291,2.327319588
CORTRI,1,NA,0.017,0.645,0.342,0.987,1.885964912
DALPUR,1,MW,0.003,0.127,0.174,0.301,0.729885057
DALPUR,2,MW,0.006,0.236,0.345,0.581,0.684057971
DALPUR,5,MW,0.001,0.029,0.032,0.061,0.90625
DALPUR,3,MI,0.006,0.113,0.133,0.246,0.84962406
DALPUR,4,MI,0.005,0.062,0.096,0.158,0.645833333
DALPUR,1,MI,0.005,0.093,0.109,0.202,0.853211009
DALPUR,6,MI,0.003,0.084,0.089,0.173,0.943820225
DALPUR,2,MI,0.006,0.091,0.13,0.221,0.7
DESCAN,3,NA,0.017,0.266,0.301,0.567,0.88372093
DESCAN,4,NA,0.037,0.532,0.466,0.998,1.141630901
DESCAN,2,NA,0.029,0.337,0.345,0.682,0.976811594
DESCAN,1,NA,0.02,0.26,0.258,0.518,1.007751938
