species,seed_mass
PENDIG,NA
PENDIG,NA
PENGRA,1.7975
PENHIR,0.185714286
PERSICARIA,3.9238
PHLPRA,0.368625
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PHLPRA,NA
PLALAN,1.44524
POACOM,0.20625
POAPRA,0.283368421
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POAPRA,NA
POTARG,0.079555556
POTARGUTA,0.16
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTARGUTA,NA
POTREC,0.277777778
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
POTREC,NA
PSEOBT,0.04
PYCTEN,0.07
PYCVIR,0.14
PYRCAL,12.9
RATPIN,0.848571429
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RATPIN,NA
RHACAT,30.367275
RHUS,8.6705
RUBALL,2.3903
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBALL,NA
RUBFLA,3.43
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
RUBFLA,NA
