species,plant.height,SLA,seed.mass,kew.seed
Desmodium.canadense,1.19,16.51666667,NA,
Desmodium.canadense,1.3,16.22556391,NA,
Desmodium.canadense,1.175,17.61805556,NA,
Desmodium.canadense,1.135,17.09550562,NA,
Desmodium.canadense,1.215,15.90517241,NA,
Desmodium.canadense,1.105,16.20642202,NA,
Desmodium.illinoense,NA,NA,6.6,field
Desmodium.paniculatum,NA,NA,3.192,kew
Desmodium.rigidum,NA,NA,2.537,kew
Dianthus.armeria,NA,NA,0.711428571,kew
Dichanthelium.clandestinum,0.99,22.71934922,NA,
Dichanthelium.clandestinum,1.01,21.62887828,NA,
Dichanthelium.clandestinum,0.92,24.4806338,NA,
Dichanthelium.clandestinum,NA,18.56731165,NA,
Dichanthelium.clandestinum,1.15,22.36206897,NA,
Dichanthelium.clandestinum,1.02,17.04991587,NA,
Dichanthelium.clandestinum,0.86,20.17037037,NA,
Dichanthelium.clandestinum,NA,22.66348774,NA,
Dichanthelium.clandestinum,NA,19.33201385,NA,
Dichanthelium.clandestinum,NA,24.9127907,NA,
Dichanthelium.clandestinum,NA,19.09090909,NA,
Dichanthelium.clandestinum,1.21,23.39879154,NA,
Dichanthelium.clandestinum,NA,27.72300469,NA,
Dichanthelium.clandestinum,NA,24.24258199,NA,
Dichanthelium.clandestinum,NA,25.48667439,NA,
Dichanthelium.clandestinum,1,22.30944255,NA,
Dichanthelium.clandestinum,NA,23.75167785,NA,
Dichanthelium.clandestinum,1.1,21.17647059,NA,
Dichanthelium.clandestinum,1.13,17.43622449,NA,
Dichanthelium.clandestinum,NA,26.46464646,NA,
Digitaria.cognata,NA,NA,0.55,kew
Echinacea.angustifolia,NA,NA,138.3555556,field
Echinacea.angustifolia,NA,NA,138.3555556,kew
Echinacea.pallida,0.47,9.460176991,5.66,field
Echinacea.pallida,0.355,7.676190476,NA,
Echinacea.pallida,0.56,11.0042735,NA,
Echinacea.pallida,0.4,9.435406699,NA,
Echinacea.pallida,0.485,9.883435583,NA,
Echinacea.pallida,0.54,7.587378641,NA,
Echinacea.pallida,0.555,8.77238806,NA,
Echinacea.pallida,0.51,9.541284404,NA,
Echinacea.pallida,0.715,11.44654088,NA,
Echinacea.pallida,0.725,11.96153846,NA,
Echinacea.pallida,0.91,10.16170213,NA,
Echinacea.pallida,0.49,9.245070423,NA,
Echinacea.pallida,0.565,10.87943262,NA,
Echinacea.pallida,0.785,7.615384615,NA,
Echinacea.pallida,0.64,9.909090909,NA,
Echinacea.pallida,0.86,9.544891641,NA,
Echinacea.pallida,0.61,9.886597938,NA,
Echinacea.pallida,0.62,9.013157895,NA,
Echinacea.pallida,0.565,10.44021739,NA,
Echinacea.pallida,0.675,9.438596491,NA,
Echinacea.purpurea,0.78,13.69852941,2.42,field
Echinacea.purpurea,0.65,12.21674877,NA,
Echinacea.purpurea,0.61,13.08368201,NA,
Echinacea.purpurea,0.6,NA,NA,
Echinacea.purpurea,0.66,11.61732852,NA,
Echinacea.purpurea,0.84,13.03968254,NA,
Echinacea.purpurea,0.51,14.00943396,NA,
Echinacea.purpurea,0.72,10.22674419,NA,
Echinacea.purpurea,0.72,13.90434783,NA,
Echinacea.purpurea,0.51,12.70454545,NA,
Echinacea.purpurea,0.76,14.63481229,NA,
Echinacea.purpurea,0.65,11.95238095,NA,
Echinacea.purpurea,0.68,13.56016598,NA,
Echinacea.purpurea,0.62,NA,NA,
Echinacea.purpurea,0.775,13.90636704,NA,
Echinacea.purpurea,0.72,13.84615385,NA,
Echinacea.purpurea,0.68,12.11386139,NA,
Echinacea.purpurea,0.73,9.132420091,NA,
Echinacea.purpurea,0.675,12.54310345,NA,
Echinacea.purpurea,0.71,11.33333333,NA,
Elaeagnus.umbellata,NA,NA,14.683,kew
Elymus.canadensis,0.71,13.38867925,4.265,field
Elymus.canadensis,0.81,NA,NA,
Elymus.canadensis,0.75,12.28685259,NA,
Elymus.canadensis,1.12,13.65868263,NA,
Elymus.canadensis,0.85,12.54697987,NA,
Elymus.canadensis,0.97,9.508287293,NA,
Elymus.canadensis,0.79,14.65652174,NA,
Elymus.canadensis,0.98,14.96956522,NA,
Elymus.canadensis,0.91,12.00722022,NA,
Elymus.canadensis,0.82,9.328502415,NA,
Elymus.canadensis,0.79,12.74740484,NA,
Elymus.canadensis,0.87,13.14529915,NA,
Elymus.canadensis,0.91,15.02112676,NA,
Elymus.canadensis,1.1,6.214745176,NA,
Elymus.canadensis,0.76,13.06785714,NA,
Elymus.canadensis,1.015,12.73958333,NA,
Elymus.canadensis,1.23,11.96696697,NA,
Elymus.canadensis,0.87,14.06593407,NA,
Elymus.canadensis,0.92,13.09756098,NA,
Elymus.canadensis,0.9,11.45454545,NA,
Elymus.repens,0.485,15.3442623,4.27,field
Elymus.repens,0.84,15.81132075,NA,
Elymus.repens,0.56,13.66174056,NA,
Elymus.repens,0.605,15.7195122,NA,
Elymus.repens,0.64,17.67164179,NA,
Elymus.repens,0.43,17.35555556,NA,
Elymus.repens,0.525,17.22,NA,
Elymus.repens,0.61,20,NA,
Elymus.repens,0.52,22.6779661,NA,
Elymus.repens,0.66,23.08,NA,
Elymus.repens,0.69,18.16216216,NA,
Elymus.repens,0.65,16.6,NA,
Elymus.repens,0.61,22.33333333,NA,
Elymus.repens,0.575,19.46875,NA,
Elymus.repens,0.55,14.78571429,NA,
Elymus.repens,0.63,18.22413793,NA,
Elymus.repens,0.755,15.890625,NA,
Elymus.repens,0.76,18.5,NA,
Elymus.repens,0.67,19.89855072,NA,
Elymus.repens,0.56,19.34545455,NA,
Elymus.villosus,NA,NA,3.428,field
Elymus.virginicus,NA,NA,5.089909091,field
Erigeron,0.74,29.5625,0.047142857,kew
Erigeron,0.63,24.65,NA,
Erigeron,0.64,22.67741935,NA,
Erigeron,0.77,29.70588235,NA,
Erigeron,0.675,26.5,NA,
Erigeron,0.8,21.70967742,NA,
Erigeron,0.555,23.12903226,NA,
Erigeron,0.67,22.90909091,NA,
Erigeron,0.825,15.71590909,NA,
Erigeron,0.61,30.10714286,NA,
Erigeron,0.78,20.21621622,NA,
Erigeron,0.68,31.2173913,NA,
Erigeron,0.665,22.93939394,NA,
Erigeron,0.795,25.76923077,NA,
Erigeron,0.62,15.9375,NA,
Erigeron,0.74,24.71794872,NA,
Erigeron,0.755,26.36842105,NA,
Erigeron,0.82,25.425,NA,
Erigeron,0.67,22.25581395,NA,
Erigeron,0.755,27.875,NA,
Eryngium.yuccifolium,1.1,8.768316832,3.82,field
Eryngium.yuccifolium,0.94,10.14782609,NA,
Eryngium.yuccifolium,0.87,9.394594595,NA,
Eryngium.yuccifolium,1.1,7.26328125,NA,
Eryngium.yuccifolium,1.04,9.028301887,NA,
Eryngium.yuccifolium,0.94,8.88021978,NA,
Eryngium.yuccifolium,0.89,11.615,NA,
Eryngium.yuccifolium,0.79,8.33963964,NA,
Eryngium.yuccifolium,0.97,9.168181818,NA,
Eryngium.yuccifolium,0.69,10.15084746,NA,
Eryngium.yuccifolium,1.01,8.6,NA,
Eryngium.yuccifolium,1.08,9.515,NA,
Eryngium.yuccifolium,1.12,9.166666667,NA,
Eryngium.yuccifolium,1.18,7.215584416,NA,
Eryngium.yuccifolium,0.99,8.38358209,NA,
Eryngium.yuccifolium,1.2,8.829090909,NA,
Eryngium.yuccifolium,0.97,10.6527027,NA,
Eryngium.yuccifolium,1.18,8.695522388,NA,
Eryngium.yuccifolium,1.02,8.496385542,NA,
Eryngium.yuccifolium,1.15,11.18717949,NA,
Eupatorium.maculatum,NA,NA,0.27875,field
Eupatorium.perfoliatum,NA,NA,0.105875,field
Eupatorium.purpureum,NA,NA,0.45,field
Euphorbia.corollata,NA,NA,3.79,kew
Fallopia.convolvulus,NA,NA,6.7,kew
Fragaria.virginiana,NA,NA,0.464142857,kew
Gentiana.andrewsii,NA,NA,0.05875,field
Geranium.maculatum,NA,NA,6.07,kew
Geum.canadense,NA,NA,7.23425,kew
Helianthus.giganteus,NA,NA,3.228,field
Helianthus.grosseserratus,NA,NA,1.97,field
Helianthus.mollis,NA,NA,4.742857143,field
Helianthus.occidentalis,NA,NA,2.265714286,field
Helianthus.pauciflorus,NA,NA,7.77,field
Helianthus.strumosus,NA,NA,5.27,field
Heliopsis.helianthoides,1.3,22.91595197,4.506,field
Heliopsis.helianthoides,1.24,18.48464619,NA,
Heliopsis.helianthoides,1.02,17.22027972,NA,
Heliopsis.helianthoides,1.1,23.02953586,NA,
Heliopsis.helianthoides,1.34,21.77130045,NA,
Heliopsis.helianthoides,1.32,21.17056856,NA,
Heliopsis.helianthoides,1.16,16.99611327,NA,
Heliopsis.helianthoides,1.38,18.39067055,NA,
Heliopsis.helianthoides,1.35,23.71702638,NA,
Heliopsis.helianthoides,1.31,17.92056075,NA,
Heliopsis.helianthoides,1.48,14.58930277,NA,
Heliopsis.helianthoides,0.91,18.1016731,NA,
Heliopsis.helianthoides,1.205,22.192639,NA,
Heliopsis.helianthoides,1.11,18.08254963,NA,
Heliopsis.helianthoides,1.2,18.82352941,NA,
Heliopsis.helianthoides,1.25,15.250501,NA,
Heliopsis.helianthoides,1.22,24.05772496,NA,
Heliopsis.helianthoides,1.45,19.64996022,NA,
Heliopsis.helianthoides,1.31,18.928,NA,
